person_id,person_name,accreditation_code,accreditation_name,issue_date,expiry_date
P001,Alice Turner,ACC-001,Site Safety Awareness,2024-01-10,2027-01-10
P001,Alice Turner,ACC-002,Heavy Plant Operator License,2024-03-15,2027-03-15
P002,Ben Carter,ACC-001,Site Safety Awareness,2023-11-01,2026-11-01
P002,Ben Carter,ACC-006,Vehicle Access Permit,2025-02-01,2027-02-01
P003,Chloe Davies,ACC-001,Site Safety Awareness,2023-05-01,2026-05-01
P005,Emma Foster,ACC-001,Site Safety Awareness,2024-06-01,2027-06-01
P005,Emma Foster,ACC-002,Heavy Plant Operator License,2024-06-01,2027-06-01
P005,Emma Foster,ACC-003,Confined Space Entry Permit,2025-01-15,2027-01-15
P006,Frank Green,ACC-001,Site Safety Awareness,2024-02-20,2027-02-20
P006,Frank Green,ACC-004,First Aid Certificate,2025-04-01,2027-04-01
P007,Grace Hall,ACC-001,Site Safety Awareness,2023-09-10,2026-09-10
P007,Grace Hall,ACC-005,Explosives Handling License,2024-07-01,2027-07-01
P008,Harry Irwin,ACC-001,Site Safety Awareness,2024-01-01,2027-01-01
P008,Harry Irwin,ACC-002,Heavy Plant Operator License,2023-06-01,2026-06-01
P008,Harry Irwin,ACC-003,Confined Space Entry Permit,2025-03-01,2027-03-01
P009,Isla Jones,ACC-002,Heavy Plant Operator License,2024-05-01,2027-05-01
P010,Jack King,ACC-001,Site Safety Awareness,2024-04-01,2027-04-01
P010,Jack King,ACC-006,Vehicle Access Permit,2024-01-01,2026-01-01
P011,Kara Lewis,ACC-001,Site Safety Awareness,2024-01-01,2027-01-01
P011,Kara Lewis,ACC-002,Heavy Plant Operator License,2024-01-01,2027-01-01
P011,Kara Lewis,ACC-003,Confined Space Entry Permit,2023-07-01,2026-07-01
P012,Liam Moore,ACC-001,Site Safety Awareness,2024-08-01,2027-08-01
P012,Liam Moore,ACC-004,First Aid Certificate,2024-08-01,2027-08-01
P012,Liam Moore,ACC-006,Vehicle Access Permit,2025-01-01,2027-01-01
P013,Noah Owen,ACC-001,Site Safety Awareness,2026-01-01,2029-09-01
P014,Noah Owen,ACC-005,Explosives Handling License,2023-01-01,2026-01-01
P015,Olivia Patel,ACC-001,Site Safety Awareness,2023-01-01,2028-01-01
P015,Olivia Patel,ACC-002,Heavy Plant Operator License,2023-01-01,2028-01-01
P015,Olivia Patel,ACC-003,Confined Space Entry Permit,2023-01-01,2028-01-01
P015,Olivia Patel,ACC-005,Explosives Handling License,2023-01-01,2028-01-01
